20369	20116	6266	1	31	0.040299
20149	20032	8514	1	61	0.414764
17954	9226	20286	0	76	0
6360	15674	20145	0	84	0
18882	16191	20287	0	127	0
20371	20315	2592	1	132	0.0110259
16801	19337	20330	0	138	0
20035	20298	11905	1	305	0.893489
20278	20044	6181	1	348	0.626016
20417	20403	2592	1	363	0.223571
20324	20079	13664	1	380	0.180391
20479	20260	2389	1	411	0.43348
20020	20196	9814	1	427	0.641499
20033	20194	13805	1	454	0.620565
20354	20087	9862	1	484	0.137579
14251	16030	20085	0	497	0
20288	20199	5823	1	499	0.601309
20127	20269	18094	1	535	0.283551
570	-1	-1	-2	570	0
20383	20029	16456	1	588	0.611736
20394	20174	11669	1	591	0.941361
20261	20381	12738	1	647	0.184189
8494	18991	20106	0	674	0
9990	14553	20479	0	691	0
16191	10169	20489	0	702	0
14679	16947	20031	0	727	0
20382	20380	6181	1	755	0.0309186
20321	20075	9627	1	764	0.0835216
20156	20288	15825	1	778	0.117751
20307	20249	2223	1	781	0.902477
20182	20096	4471	1	786	0.24727
20192	20440	15876	1	800	0.231616
9762	8949	20458	0	801	0
11905	15631	20374	0	802	0
15157	15876	20211	0	833	0
20096	20413	9960	1	926	0.254246
20145	20348	1071	1	932	0.306178
20406	20101	3164	1	956	0.96399
20407	20446	11605	1	964	0.817098
20115	20101	13027	1	972	0.416001
20005	20140	2389	1	973	0.416176
20157	20089	8668	1	996	0.551259
1804	2229	20301	0	997	0
20238	20177	8903	1	1017	0.0751615
20448	20156	11652	1	1021	0.825669
20432	20413	4924	1	1081	0.560664
742	17074	20412	0	1095	0
13026	3839	20035	0	1142	0
18085	6071	20405	0	1167	0
20195	20479	12614	1	1179	0.805918
10392	8625	20378	0	1193	0
20015	20247	791	1	1200	0.631316
20336	20499	8478	1	1205	0.173729
20311	20261	2855	1	1210	0.899922
12478	14539	20004	0	1229	0
20029	20364	5817	1	1238	0.447482
3949	5596	20294	0	1267	0
15742	17068	20214	0	1298	0
13693	10725	20101	0	1331	0
20456	20223	5448	1	1346	0.747789
20158	20168	11456	1	1349	0.841257
2966	10581	20208	0	1393	0
20365	20322	11605	1	1427	0.228578
20463	20101	13320	1	1440	0.931768
20218	20236	2831	1	1447	0.130418
5484	2518	20373	0	1555	0
20104	20090	13026	1	1568	0.674557
20093	20431	7480	1	1572	0.710305
20080	20349	2223	1	1594	0.952836
9917	13186	20208	0	1629	0
8709	18531	20422	0	1638	0
20122	20222	3110	1	1653	0.589864
20449	20025	15876	1	1660	0.66458
20324	20209	15920	1	1661	0.720229
6445	19760	20484	0	1699	0
12060	15876	20110	0	1700	0
16017	13808	20207	0	1712	0
20156	20246	742	1	1727	0.481179
16886	16393	20231	0	1799	0
20012	20225	5823	1	1805	0.678542
20054	20248	1158	1	1807	0.947506
8936	1993	20054	0	1833	0
20397	20376	2502	1	1853	0.0467525
20447	20118	3164	1	1920	0.312926
11646	19295	20357	0	1927	0
20244	20300	2785	1	1928	0.820412
20002	20195	16017	1	1944	0.903152
20255	20202	6224	1	1948	0.701733
20323	20467	8362	1	2012	0.396204
20364	20140	6323	1	2017	0.187838
19819	13525	20394	0	2036	0
10258	8808	20310	0	2091	0
14086	18965	20116	0	2101	0
20277	20296	2592	1	2187	0.886342
20365	20316	11741	1	2189	0.394102
