X,Y
20.68081967,0.624084593
25.43844106,2.184117458
31.27493279,4.915157361
38.42476314,9.21801879
46.6957841,15.59049201
54.48606287,23.03433001
60.86086854,30.69250646
66.39821839,38.61664821
71.46786082,46.77740864
76.40610317,55.0841639
81.42161556,63.12403101
87.06950676,70.84163898
94.36616567,78.53899699
104.6984834,86.29752676
120.5251052,94.01417497
134.8059435,98.54681924
144.8059435,98.9999
154.8059435,98.9999
164.8059435,98.9999
174.8059435,98.9999
184.8059435,98.9999
