;T_range;theta_range;pop_size;gen_size;tour_size;tour_factor;pars_coeff;tree
0;0.0~1.0;-10.0~10.0;5000;15;25;200;0.1;"digraph program {
node [style=filled]
0 [label=""sub"", fillcolor=""#136ed4""] ;
1 [label=""sub"", fillcolor=""#136ed4""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""mul"", fillcolor=""#136ed4""] ;
4 [label=""mul"", fillcolor=""#136ed4""] ;
5 [label=""X0"", fillcolor=""#60a6f6""] ;
6 [label=""sub"", fillcolor=""#136ed4""] ;
7 [label=""1.177"", fillcolor=""#60a6f6""] ;
8 [label=""X1"", fillcolor=""#60a6f6""] ;
6 -> 8 ;
6 -> 7 ;
4 -> 6 ;
4 -> 5 ;
9 [label=""mul"", fillcolor=""#136ed4""] ;
10 [label=""-1.996"", fillcolor=""#60a6f6""] ;
11 [label=""X0"", fillcolor=""#60a6f6""] ;
9 -> 11 ;
9 -> 10 ;
3 -> 9 ;
3 -> 4 ;
12 [label=""add"", fillcolor=""#136ed4""] ;
13 [label=""1.544"", fillcolor=""#60a6f6""] ;
14 [label=""X1"", fillcolor=""#60a6f6""] ;
12 -> 14 ;
12 -> 13 ;
2 -> 12 ;
2 -> 3 ;
15 [label=""mul"", fillcolor=""#136ed4""] ;
16 [label=""X1"", fillcolor=""#60a6f6""] ;
17 [label=""X1"", fillcolor=""#60a6f6""] ;
15 -> 17 ;
15 -> 16 ;
1 -> 15 ;
1 -> 2 ;
18 [label=""add"", fillcolor=""#136ed4""] ;
19 [label=""add"", fillcolor=""#136ed4""] ;
20 [label=""add"", fillcolor=""#136ed4""] ;
21 [label=""1.544"", fillcolor=""#60a6f6""] ;
22 [label=""X1"", fillcolor=""#60a6f6""] ;
20 -> 22 ;
20 -> 21 ;
23 [label=""X1"", fillcolor=""#60a6f6""] ;
19 -> 23 ;
19 -> 20 ;
24 [label=""X1"", fillcolor=""#60a6f6""] ;
18 -> 24 ;
18 -> 19 ;
0 -> 18 ;
0 -> 1 ;
}"
1;0.0~1.0;-10.0~10.0;5000;15;25;200;0.1;"digraph program {
node [style=filled]
0 [label=""sub"", fillcolor=""#136ed4""] ;
1 [label=""sub"", fillcolor=""#136ed4""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""sub"", fillcolor=""#136ed4""] ;
4 [label=""mul"", fillcolor=""#136ed4""] ;
5 [label=""mul"", fillcolor=""#136ed4""] ;
6 [label=""X0"", fillcolor=""#60a6f6""] ;
7 [label=""sub"", fillcolor=""#136ed4""] ;
8 [label=""1.177"", fillcolor=""#60a6f6""] ;
9 [label=""X1"", fillcolor=""#60a6f6""] ;
7 -> 9 ;
7 -> 8 ;
5 -> 7 ;
5 -> 6 ;
10 [label=""mul"", fillcolor=""#136ed4""] ;
11 [label=""-1.996"", fillcolor=""#60a6f6""] ;
12 [label=""X0"", fillcolor=""#60a6f6""] ;
10 -> 12 ;
10 -> 11 ;
4 -> 10 ;
4 -> 5 ;
13 [label=""add"", fillcolor=""#136ed4""] ;
14 [label=""1.544"", fillcolor=""#60a6f6""] ;
15 [label=""X1"", fillcolor=""#60a6f6""] ;
13 -> 15 ;
13 -> 14 ;
3 -> 13 ;
3 -> 4 ;
16 [label=""add"", fillcolor=""#136ed4""] ;
17 [label=""add"", fillcolor=""#136ed4""] ;
18 [label=""1.544"", fillcolor=""#60a6f6""] ;
19 [label=""X1"", fillcolor=""#60a6f6""] ;
17 -> 19 ;
17 -> 18 ;
20 [label=""X1"", fillcolor=""#60a6f6""] ;
16 -> 20 ;
16 -> 17 ;
2 -> 16 ;
2 -> 3 ;
21 [label=""add"", fillcolor=""#136ed4""] ;
22 [label=""1.544"", fillcolor=""#60a6f6""] ;
23 [label=""X1"", fillcolor=""#60a6f6""] ;
21 -> 23 ;
21 -> 22 ;
1 -> 21 ;
1 -> 2 ;
24 [label=""1.544"", fillcolor=""#60a6f6""] ;
0 -> 24 ;
0 -> 1 ;
}"
2;0.0~1.0;-10.0~10.0;5000;15;25;200;0.1;"digraph program {
node [style=filled]
0 [label=""sub"", fillcolor=""#136ed4""] ;
1 [label=""sub"", fillcolor=""#136ed4""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""sub"", fillcolor=""#136ed4""] ;
4 [label=""mul"", fillcolor=""#136ed4""] ;
5 [label=""mul"", fillcolor=""#136ed4""] ;
6 [label=""X0"", fillcolor=""#60a6f6""] ;
7 [label=""sub"", fillcolor=""#136ed4""] ;
8 [label=""1.177"", fillcolor=""#60a6f6""] ;
9 [label=""X1"", fillcolor=""#60a6f6""] ;
7 -> 9 ;
7 -> 8 ;
5 -> 7 ;
5 -> 6 ;
10 [label=""mul"", fillcolor=""#136ed4""] ;
11 [label=""-1.996"", fillcolor=""#60a6f6""] ;
12 [label=""X0"", fillcolor=""#60a6f6""] ;
10 -> 12 ;
10 -> 11 ;
4 -> 10 ;
4 -> 5 ;
13 [label=""add"", fillcolor=""#136ed4""] ;
14 [label=""1.544"", fillcolor=""#60a6f6""] ;
15 [label=""X1"", fillcolor=""#60a6f6""] ;
13 -> 15 ;
13 -> 14 ;
3 -> 13 ;
3 -> 4 ;
16 [label=""add"", fillcolor=""#136ed4""] ;
17 [label=""1.544"", fillcolor=""#60a6f6""] ;
18 [label=""X1"", fillcolor=""#60a6f6""] ;
16 -> 18 ;
16 -> 17 ;
2 -> 16 ;
2 -> 3 ;
19 [label=""add"", fillcolor=""#136ed4""] ;
20 [label=""1.544"", fillcolor=""#60a6f6""] ;
21 [label=""X1"", fillcolor=""#60a6f6""] ;
19 -> 21 ;
19 -> 20 ;
1 -> 19 ;
1 -> 2 ;
22 [label=""add"", fillcolor=""#136ed4""] ;
23 [label=""1.544"", fillcolor=""#60a6f6""] ;
24 [label=""X1"", fillcolor=""#60a6f6""] ;
22 -> 24 ;
22 -> 23 ;
0 -> 22 ;
0 -> 1 ;
}"
3;0.0~1.0;-10.0~10.0;5000;15;25;200;0.1;"digraph program {
node [style=filled]
0 [label=""sub"", fillcolor=""#136ed4""] ;
1 [label=""sub"", fillcolor=""#136ed4""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""sub"", fillcolor=""#136ed4""] ;
4 [label=""mul"", fillcolor=""#136ed4""] ;
5 [label=""mul"", fillcolor=""#136ed4""] ;
6 [label=""X0"", fillcolor=""#60a6f6""] ;
7 [label=""sub"", fillcolor=""#136ed4""] ;
8 [label=""1.177"", fillcolor=""#60a6f6""] ;
9 [label=""X1"", fillcolor=""#60a6f6""] ;
7 -> 9 ;
7 -> 8 ;
5 -> 7 ;
5 -> 6 ;
10 [label=""mul"", fillcolor=""#136ed4""] ;
11 [label=""-1.996"", fillcolor=""#60a6f6""] ;
12 [label=""X0"", fillcolor=""#60a6f6""] ;
10 -> 12 ;
10 -> 11 ;
4 -> 10 ;
4 -> 5 ;
13 [label=""add"", fillcolor=""#136ed4""] ;
14 [label=""1.544"", fillcolor=""#60a6f6""] ;
15 [label=""X1"", fillcolor=""#60a6f6""] ;
13 -> 15 ;
13 -> 14 ;
3 -> 13 ;
3 -> 4 ;
16 [label=""1.544"", fillcolor=""#60a6f6""] ;
2 -> 16 ;
2 -> 3 ;
17 [label=""add"", fillcolor=""#136ed4""] ;
18 [label=""1.544"", fillcolor=""#60a6f6""] ;
19 [label=""X1"", fillcolor=""#60a6f6""] ;
17 -> 19 ;
17 -> 18 ;
1 -> 17 ;
1 -> 2 ;
20 [label=""add"", fillcolor=""#136ed4""] ;
21 [label=""1.544"", fillcolor=""#60a6f6""] ;
22 [label=""X1"", fillcolor=""#60a6f6""] ;
20 -> 22 ;
20 -> 21 ;
0 -> 20 ;
0 -> 1 ;
}"
4;0.0~1.0;-10.0~10.0;5000;15;25;200;0.1;"digraph program {
node [style=filled]
0 [label=""sub"", fillcolor=""#136ed4""] ;
1 [label=""sub"", fillcolor=""#136ed4""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""sub"", fillcolor=""#136ed4""] ;
4 [label=""mul"", fillcolor=""#136ed4""] ;
5 [label=""mul"", fillcolor=""#136ed4""] ;
6 [label=""X0"", fillcolor=""#60a6f6""] ;
7 [label=""sub"", fillcolor=""#136ed4""] ;
8 [label=""1.177"", fillcolor=""#60a6f6""] ;
9 [label=""X1"", fillcolor=""#60a6f6""] ;
7 -> 9 ;
7 -> 8 ;
5 -> 7 ;
5 -> 6 ;
10 [label=""mul"", fillcolor=""#136ed4""] ;
11 [label=""-1.996"", fillcolor=""#60a6f6""] ;
12 [label=""X0"", fillcolor=""#60a6f6""] ;
10 -> 12 ;
10 -> 11 ;
4 -> 10 ;
4 -> 5 ;
13 [label=""add"", fillcolor=""#136ed4""] ;
14 [label=""1.544"", fillcolor=""#60a6f6""] ;
15 [label=""X1"", fillcolor=""#60a6f6""] ;
13 -> 15 ;
13 -> 14 ;
3 -> 13 ;
3 -> 4 ;
16 [label=""add"", fillcolor=""#136ed4""] ;
17 [label=""1.544"", fillcolor=""#60a6f6""] ;
18 [label=""X1"", fillcolor=""#60a6f6""] ;
16 -> 18 ;
16 -> 17 ;
2 -> 16 ;
2 -> 3 ;
19 [label=""add"", fillcolor=""#136ed4""] ;
20 [label=""1.544"", fillcolor=""#60a6f6""] ;
21 [label=""X1"", fillcolor=""#60a6f6""] ;
19 -> 21 ;
19 -> 20 ;
1 -> 19 ;
1 -> 2 ;
22 [label=""1.544"", fillcolor=""#60a6f6""] ;
0 -> 22 ;
0 -> 1 ;
}"
