;T_range;theta_range;pop_size;gen_size;tour_size;tour_factor;pars_coeff;tree
0;0.0~10.0;-15.0~15.0;10000;15;20;500;auto;"digraph program {
node [style=filled]
0 [label=""add"", fillcolor=""#136ed4""] ;
1 [label=""sub"", fillcolor=""#136ed4""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""add"", fillcolor=""#136ed4""] ;
4 [label=""mul"", fillcolor=""#136ed4""] ;
5 [label=""X1"", fillcolor=""#60a6f6""] ;
6 [label=""-0.674"", fillcolor=""#60a6f6""] ;
4 -> 6 ;
4 -> 5 ;
7 [label=""add"", fillcolor=""#136ed4""] ;
8 [label=""X0"", fillcolor=""#60a6f6""] ;
9 [label=""1.140"", fillcolor=""#60a6f6""] ;
7 -> 9 ;
7 -> 8 ;
3 -> 7 ;
3 -> 4 ;
10 [label=""add"", fillcolor=""#136ed4""] ;
11 [label=""mul"", fillcolor=""#136ed4""] ;
12 [label=""X1"", fillcolor=""#60a6f6""] ;
13 [label=""X1"", fillcolor=""#60a6f6""] ;
11 -> 13 ;
11 -> 12 ;
14 [label=""sub"", fillcolor=""#136ed4""] ;
15 [label=""X0"", fillcolor=""#60a6f6""] ;
16 [label=""X1"", fillcolor=""#60a6f6""] ;
14 -> 16 ;
14 -> 15 ;
10 -> 14 ;
10 -> 11 ;
2 -> 10 ;
2 -> 3 ;
17 [label=""mul"", fillcolor=""#136ed4""] ;
18 [label=""mul"", fillcolor=""#136ed4""] ;
19 [label=""mul"", fillcolor=""#136ed4""] ;
20 [label=""-0.500"", fillcolor=""#60a6f6""] ;
21 [label=""1.211"", fillcolor=""#60a6f6""] ;
19 -> 21 ;
19 -> 20 ;
22 [label=""add"", fillcolor=""#136ed4""] ;
23 [label=""-1.816"", fillcolor=""#60a6f6""] ;
24 [label=""X0"", fillcolor=""#60a6f6""] ;
22 -> 24 ;
22 -> 23 ;
18 -> 22 ;
18 -> 19 ;
25 [label=""sub"", fillcolor=""#136ed4""] ;
26 [label=""add"", fillcolor=""#136ed4""] ;
27 [label=""-1.097"", fillcolor=""#60a6f6""] ;
28 [label=""1.458"", fillcolor=""#60a6f6""] ;
26 -> 28 ;
26 -> 27 ;
29 [label=""sub"", fillcolor=""#136ed4""] ;
30 [label=""-0.877"", fillcolor=""#60a6f6""] ;
31 [label=""X1"", fillcolor=""#60a6f6""] ;
29 -> 31 ;
29 -> 30 ;
25 -> 29 ;
25 -> 26 ;
17 -> 25 ;
17 -> 18 ;
1 -> 17 ;
1 -> 2 ;
32 [label=""add"", fillcolor=""#136ed4""] ;
33 [label=""add"", fillcolor=""#136ed4""] ;
34 [label=""mul"", fillcolor=""#136ed4""] ;
35 [label=""add"", fillcolor=""#136ed4""] ;
36 [label=""1.033"", fillcolor=""#60a6f6""] ;
37 [label=""-0.230"", fillcolor=""#60a6f6""] ;
35 -> 37 ;
35 -> 36 ;
38 [label=""add"", fillcolor=""#136ed4""] ;
39 [label=""X0"", fillcolor=""#60a6f6""] ;
40 [label=""X1"", fillcolor=""#60a6f6""] ;
38 -> 40 ;
38 -> 39 ;
34 -> 38 ;
34 -> 35 ;
41 [label=""mul"", fillcolor=""#136ed4""] ;
42 [label=""add"", fillcolor=""#136ed4""] ;
43 [label=""X0"", fillcolor=""#60a6f6""] ;
44 [label=""X0"", fillcolor=""#60a6f6""] ;
42 -> 44 ;
42 -> 43 ;
45 [label=""mul"", fillcolor=""#136ed4""] ;
46 [label=""X0"", fillcolor=""#60a6f6""] ;
47 [label=""X1"", fillcolor=""#60a6f6""] ;
45 -> 47 ;
45 -> 46 ;
41 -> 45 ;
41 -> 42 ;
33 -> 41 ;
33 -> 34 ;
48 [label=""add"", fillcolor=""#136ed4""] ;
49 [label=""add"", fillcolor=""#136ed4""] ;
50 [label=""add"", fillcolor=""#136ed4""] ;
51 [label=""X1"", fillcolor=""#60a6f6""] ;
52 [label=""1.149"", fillcolor=""#60a6f6""] ;
50 -> 52 ;
50 -> 51 ;
53 [label=""sub"", fillcolor=""#136ed4""] ;
54 [label=""X1"", fillcolor=""#60a6f6""] ;
55 [label=""X1"", fillcolor=""#60a6f6""] ;
53 -> 55 ;
53 -> 54 ;
49 -> 53 ;
49 -> 50 ;
56 [label=""sub"", fillcolor=""#136ed4""] ;
57 [label=""add"", fillcolor=""#136ed4""] ;
58 [label=""1.681"", fillcolor=""#60a6f6""] ;
59 [label=""X0"", fillcolor=""#60a6f6""] ;
57 -> 59 ;
57 -> 58 ;
60 [label=""sub"", fillcolor=""#136ed4""] ;
61 [label=""X0"", fillcolor=""#60a6f6""] ;
62 [label=""-1.827"", fillcolor=""#60a6f6""] ;
60 -> 62 ;
60 -> 61 ;
56 -> 60 ;
56 -> 57 ;
48 -> 56 ;
48 -> 49 ;
32 -> 48 ;
32 -> 33 ;
0 -> 32 ;
0 -> 1 ;
}"
1;0.0~10.0;-15.0~15.0;10000;15;20;500;auto;"digraph program {
node [style=filled]
0 [label=""mul"", fillcolor=""#136ed4""] ;
1 [label=""add"", fillcolor=""#136ed4""] ;
2 [label=""X1"", fillcolor=""#60a6f6""] ;
3 [label=""X1"", fillcolor=""#60a6f6""] ;
1 -> 3 ;
1 -> 2 ;
4 [label=""mul"", fillcolor=""#136ed4""] ;
5 [label=""X0"", fillcolor=""#60a6f6""] ;
6 [label=""X0"", fillcolor=""#60a6f6""] ;
4 -> 6 ;
4 -> 5 ;
0 -> 4 ;
0 -> 1 ;
}"
2;0.0~10.0;-15.0~15.0;10000;15;20;500;auto;"digraph program {
node [style=filled]
0 [label=""add"", fillcolor=""#136ed4""] ;
1 [label=""mul"", fillcolor=""#136ed4""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""X0"", fillcolor=""#60a6f6""] ;
4 [label=""X1"", fillcolor=""#60a6f6""] ;
2 -> 4 ;
2 -> 3 ;
5 [label=""add"", fillcolor=""#136ed4""] ;
6 [label=""X0"", fillcolor=""#60a6f6""] ;
7 [label=""X1"", fillcolor=""#60a6f6""] ;
5 -> 7 ;
5 -> 6 ;
1 -> 5 ;
1 -> 2 ;
8 [label=""mul"", fillcolor=""#136ed4""] ;
9 [label=""mul"", fillcolor=""#136ed4""] ;
10 [label=""X0"", fillcolor=""#60a6f6""] ;
11 [label=""X0"", fillcolor=""#60a6f6""] ;
9 -> 11 ;
9 -> 10 ;
12 [label=""add"", fillcolor=""#136ed4""] ;
13 [label=""X1"", fillcolor=""#60a6f6""] ;
14 [label=""0.443"", fillcolor=""#60a6f6""] ;
12 -> 14 ;
12 -> 13 ;
8 -> 12 ;
8 -> 9 ;
0 -> 8 ;
0 -> 1 ;
}"
3;0.0~10.0;-15.0~15.0;10000;15;20;500;auto;"digraph program {
node [style=filled]
0 [label=""mul"", fillcolor=""#136ed4""] ;
1 [label=""add"", fillcolor=""#136ed4""] ;
2 [label=""X0"", fillcolor=""#60a6f6""] ;
3 [label=""X0"", fillcolor=""#60a6f6""] ;
1 -> 3 ;
1 -> 2 ;
4 [label=""mul"", fillcolor=""#136ed4""] ;
5 [label=""X0"", fillcolor=""#60a6f6""] ;
6 [label=""X1"", fillcolor=""#60a6f6""] ;
4 -> 6 ;
4 -> 5 ;
0 -> 4 ;
0 -> 1 ;
}"
4;0.0~10.0;-15.0~15.0;10000;15;20;500;auto;"digraph program {
node [style=filled]
0 [label=""mul"", fillcolor=""#136ed4""] ;
1 [label=""X0"", fillcolor=""#60a6f6""] ;
2 [label=""add"", fillcolor=""#136ed4""] ;
3 [label=""add"", fillcolor=""#136ed4""] ;
4 [label=""X0"", fillcolor=""#60a6f6""] ;
5 [label=""X0"", fillcolor=""#60a6f6""] ;
3 -> 5 ;
3 -> 4 ;
6 [label=""mul"", fillcolor=""#136ed4""] ;
7 [label=""X0"", fillcolor=""#60a6f6""] ;
8 [label=""X1"", fillcolor=""#60a6f6""] ;
6 -> 8 ;
6 -> 7 ;
2 -> 6 ;
2 -> 3 ;
0 -> 2 ;
0 -> 1 ;
}"
