;T_range;theta_range;pop_size;gen_size;tour_size;tour_factor;pars_coeff;tree
0;0.0~2.0;-20.0~20.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""mul"", fillcolor=""#136ed4""] ;
1 [label=""sub"", fillcolor=""#136ed4""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""X0"", fillcolor=""#60a6f6""] ;
4 [label=""-1.181"", fillcolor=""#60a6f6""] ;
2 -> 4 ;
2 -> 3 ;
5 [label=""sub"", fillcolor=""#136ed4""] ;
6 [label=""X0"", fillcolor=""#60a6f6""] ;
7 [label=""1.398"", fillcolor=""#60a6f6""] ;
5 -> 7 ;
5 -> 6 ;
1 -> 5 ;
1 -> 2 ;
8 [label=""add"", fillcolor=""#136ed4""] ;
9 [label=""add"", fillcolor=""#136ed4""] ;
10 [label=""-0.035"", fillcolor=""#60a6f6""] ;
11 [label=""X0"", fillcolor=""#60a6f6""] ;
9 -> 11 ;
9 -> 10 ;
12 [label=""mul"", fillcolor=""#136ed4""] ;
13 [label=""X0"", fillcolor=""#60a6f6""] ;
14 [label=""X0"", fillcolor=""#60a6f6""] ;
12 -> 14 ;
12 -> 13 ;
8 -> 12 ;
8 -> 9 ;
0 -> 8 ;
0 -> 1 ;
}"
1;0.0~2.0;-20.0~20.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""sub"", fillcolor=""#136ed4""] ;
1 [label=""sub"", fillcolor=""#136ed4""] ;
2 [label=""mul"", fillcolor=""#136ed4""] ;
3 [label=""mul"", fillcolor=""#136ed4""] ;
4 [label=""add"", fillcolor=""#136ed4""] ;
5 [label=""mul"", fillcolor=""#136ed4""] ;
6 [label=""0.955"", fillcolor=""#60a6f6""] ;
7 [label=""1.103"", fillcolor=""#60a6f6""] ;
5 -> 7 ;
5 -> 6 ;
8 [label=""add"", fillcolor=""#136ed4""] ;
9 [label=""X1"", fillcolor=""#60a6f6""] ;
10 [label=""X1"", fillcolor=""#60a6f6""] ;
8 -> 10 ;
8 -> 9 ;
4 -> 8 ;
4 -> 5 ;
11 [label=""sub"", fillcolor=""#136ed4""] ;
12 [label=""add"", fillcolor=""#136ed4""] ;
13 [label=""X0"", fillcolor=""#60a6f6""] ;
14 [label=""X0"", fillcolor=""#60a6f6""] ;
12 -> 14 ;
12 -> 13 ;
15 [label=""sub"", fillcolor=""#136ed4""] ;
16 [label=""-1.387"", fillcolor=""#60a6f6""] ;
17 [label=""X1"", fillcolor=""#60a6f6""] ;
15 -> 17 ;
15 -> 16 ;
11 -> 15 ;
11 -> 12 ;
3 -> 11 ;
3 -> 4 ;
18 [label=""mul"", fillcolor=""#136ed4""] ;
19 [label=""mul"", fillcolor=""#136ed4""] ;
20 [label=""mul"", fillcolor=""#136ed4""] ;
21 [label=""X1"", fillcolor=""#60a6f6""] ;
22 [label=""X0"", fillcolor=""#60a6f6""] ;
20 -> 22 ;
20 -> 21 ;
23 [label=""mul"", fillcolor=""#136ed4""] ;
24 [label=""-1.073"", fillcolor=""#60a6f6""] ;
25 [label=""-0.631"", fillcolor=""#60a6f6""] ;
23 -> 25 ;
23 -> 24 ;
19 -> 23 ;
19 -> 20 ;
26 [label=""mul"", fillcolor=""#136ed4""] ;
27 [label=""add"", fillcolor=""#136ed4""] ;
28 [label=""1.281"", fillcolor=""#60a6f6""] ;
29 [label=""X1"", fillcolor=""#60a6f6""] ;
27 -> 29 ;
27 -> 28 ;
30 [label=""add"", fillcolor=""#136ed4""] ;
31 [label=""1.878"", fillcolor=""#60a6f6""] ;
32 [label=""-1.794"", fillcolor=""#60a6f6""] ;
30 -> 32 ;
30 -> 31 ;
26 -> 30 ;
26 -> 27 ;
18 -> 26 ;
18 -> 19 ;
2 -> 18 ;
2 -> 3 ;
33 [label=""sub"", fillcolor=""#136ed4""] ;
34 [label=""mul"", fillcolor=""#136ed4""] ;
35 [label=""add"", fillcolor=""#136ed4""] ;
36 [label=""mul"", fillcolor=""#136ed4""] ;
37 [label=""X1"", fillcolor=""#60a6f6""] ;
38 [label=""X1"", fillcolor=""#60a6f6""] ;
36 -> 38 ;
36 -> 37 ;
39 [label=""mul"", fillcolor=""#136ed4""] ;
40 [label=""0.191"", fillcolor=""#60a6f6""] ;
41 [label=""X1"", fillcolor=""#60a6f6""] ;
39 -> 41 ;
39 -> 40 ;
35 -> 39 ;
35 -> 36 ;
42 [label=""sub"", fillcolor=""#136ed4""] ;
43 [label=""mul"", fillcolor=""#136ed4""] ;
44 [label=""X1"", fillcolor=""#60a6f6""] ;
45 [label=""X1"", fillcolor=""#60a6f6""] ;
43 -> 45 ;
43 -> 44 ;
46 [label=""add"", fillcolor=""#136ed4""] ;
47 [label=""1.366"", fillcolor=""#60a6f6""] ;
48 [label=""X0"", fillcolor=""#60a6f6""] ;
46 -> 48 ;
46 -> 47 ;
42 -> 46 ;
42 -> 43 ;
34 -> 42 ;
34 -> 35 ;
49 [label=""add"", fillcolor=""#136ed4""] ;
50 [label=""mul"", fillcolor=""#136ed4""] ;
51 [label=""add"", fillcolor=""#136ed4""] ;
52 [label=""1.879"", fillcolor=""#60a6f6""] ;
53 [label=""X1"", fillcolor=""#60a6f6""] ;
51 -> 53 ;
51 -> 52 ;
54 [label=""mul"", fillcolor=""#136ed4""] ;
55 [label=""X1"", fillcolor=""#60a6f6""] ;
56 [label=""-1.847"", fillcolor=""#60a6f6""] ;
54 -> 56 ;
54 -> 55 ;
50 -> 54 ;
50 -> 51 ;
57 [label=""add"", fillcolor=""#136ed4""] ;
58 [label=""sub"", fillcolor=""#136ed4""] ;
59 [label=""X0"", fillcolor=""#60a6f6""] ;
60 [label=""X0"", fillcolor=""#60a6f6""] ;
58 -> 60 ;
58 -> 59 ;
61 [label=""mul"", fillcolor=""#136ed4""] ;
62 [label=""0.619"", fillcolor=""#60a6f6""] ;
63 [label=""X0"", fillcolor=""#60a6f6""] ;
61 -> 63 ;
61 -> 62 ;
57 -> 61 ;
57 -> 58 ;
49 -> 57 ;
49 -> 50 ;
33 -> 49 ;
33 -> 34 ;
1 -> 33 ;
1 -> 2 ;
64 [label=""sub"", fillcolor=""#136ed4""] ;
65 [label=""sub"", fillcolor=""#136ed4""] ;
66 [label=""sub"", fillcolor=""#136ed4""] ;
67 [label=""add"", fillcolor=""#136ed4""] ;
68 [label=""add"", fillcolor=""#136ed4""] ;
69 [label=""X0"", fillcolor=""#60a6f6""] ;
70 [label=""-1.531"", fillcolor=""#60a6f6""] ;
68 -> 70 ;
68 -> 69 ;
71 [label=""mul"", fillcolor=""#136ed4""] ;
72 [label=""X1"", fillcolor=""#60a6f6""] ;
73 [label=""X1"", fillcolor=""#60a6f6""] ;
71 -> 73 ;
71 -> 72 ;
67 -> 71 ;
67 -> 68 ;
74 [label=""mul"", fillcolor=""#136ed4""] ;
75 [label=""add"", fillcolor=""#136ed4""] ;
76 [label=""X0"", fillcolor=""#60a6f6""] ;
77 [label=""X1"", fillcolor=""#60a6f6""] ;
75 -> 77 ;
75 -> 76 ;
78 [label=""mul"", fillcolor=""#136ed4""] ;
79 [label=""X1"", fillcolor=""#60a6f6""] ;
80 [label=""X1"", fillcolor=""#60a6f6""] ;
78 -> 80 ;
78 -> 79 ;
74 -> 78 ;
74 -> 75 ;
66 -> 74 ;
66 -> 67 ;
81 [label=""mul"", fillcolor=""#136ed4""] ;
82 [label=""add"", fillcolor=""#136ed4""] ;
83 [label=""sub"", fillcolor=""#136ed4""] ;
84 [label=""X1"", fillcolor=""#60a6f6""] ;
85 [label=""X1"", fillcolor=""#60a6f6""] ;
83 -> 85 ;
83 -> 84 ;
86 [label=""mul"", fillcolor=""#136ed4""] ;
87 [label=""-0.859"", fillcolor=""#60a6f6""] ;
88 [label=""0.713"", fillcolor=""#60a6f6""] ;
86 -> 88 ;
86 -> 87 ;
82 -> 86 ;
82 -> 83 ;
89 [label=""mul"", fillcolor=""#136ed4""] ;
90 [label=""sub"", fillcolor=""#136ed4""] ;
91 [label=""X0"", fillcolor=""#60a6f6""] ;
92 [label=""X0"", fillcolor=""#60a6f6""] ;
90 -> 92 ;
90 -> 91 ;
93 [label=""mul"", fillcolor=""#136ed4""] ;
94 [label=""X1"", fillcolor=""#60a6f6""] ;
95 [label=""X1"", fillcolor=""#60a6f6""] ;
93 -> 95 ;
93 -> 94 ;
89 -> 93 ;
89 -> 90 ;
81 -> 89 ;
81 -> 82 ;
65 -> 81 ;
65 -> 66 ;
96 [label=""add"", fillcolor=""#136ed4""] ;
97 [label=""sub"", fillcolor=""#136ed4""] ;
98 [label=""sub"", fillcolor=""#136ed4""] ;
99 [label=""sub"", fillcolor=""#136ed4""] ;
100 [label=""1.055"", fillcolor=""#60a6f6""] ;
101 [label=""-0.215"", fillcolor=""#60a6f6""] ;
99 -> 101 ;
99 -> 100 ;
102 [label=""sub"", fillcolor=""#136ed4""] ;
103 [label=""X0"", fillcolor=""#60a6f6""] ;
104 [label=""-1.174"", fillcolor=""#60a6f6""] ;
102 -> 104 ;
102 -> 103 ;
98 -> 102 ;
98 -> 99 ;
105 [label=""mul"", fillcolor=""#136ed4""] ;
106 [label=""mul"", fillcolor=""#136ed4""] ;
107 [label=""-1.882"", fillcolor=""#60a6f6""] ;
108 [label=""X1"", fillcolor=""#60a6f6""] ;
106 -> 108 ;
106 -> 107 ;
109 [label=""add"", fillcolor=""#136ed4""] ;
110 [label=""X1"", fillcolor=""#60a6f6""] ;
111 [label=""-0.455"", fillcolor=""#60a6f6""] ;
109 -> 111 ;
109 -> 110 ;
105 -> 109 ;
105 -> 106 ;
97 -> 105 ;
97 -> 98 ;
112 [label=""add"", fillcolor=""#136ed4""] ;
113 [label=""sub"", fillcolor=""#136ed4""] ;
114 [label=""add"", fillcolor=""#136ed4""] ;
115 [label=""-0.633"", fillcolor=""#60a6f6""] ;
116 [label=""X0"", fillcolor=""#60a6f6""] ;
114 -> 116 ;
114 -> 115 ;
117 [label=""sub"", fillcolor=""#136ed4""] ;
118 [label=""X0"", fillcolor=""#60a6f6""] ;
119 [label=""X0"", fillcolor=""#60a6f6""] ;
117 -> 119 ;
117 -> 118 ;
113 -> 117 ;
113 -> 114 ;
120 [label=""mul"", fillcolor=""#136ed4""] ;
121 [label=""add"", fillcolor=""#136ed4""] ;
122 [label=""X0"", fillcolor=""#60a6f6""] ;
123 [label=""0.031"", fillcolor=""#60a6f6""] ;
121 -> 123 ;
121 -> 122 ;
124 [label=""mul"", fillcolor=""#136ed4""] ;
125 [label=""1.233"", fillcolor=""#60a6f6""] ;
126 [label=""X0"", fillcolor=""#60a6f6""] ;
124 -> 126 ;
124 -> 125 ;
120 -> 124 ;
120 -> 121 ;
112 -> 120 ;
112 -> 113 ;
96 -> 112 ;
96 -> 97 ;
64 -> 96 ;
64 -> 65 ;
0 -> 64 ;
0 -> 1 ;
}"
2;0.0~2.0;-20.0~20.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""add"", fillcolor=""#136ed4""] ;
1 [label=""X1"", fillcolor=""#60a6f6""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""sub"", fillcolor=""#136ed4""] ;
4 [label=""add"", fillcolor=""#136ed4""] ;
5 [label=""add"", fillcolor=""#136ed4""] ;
6 [label=""sub"", fillcolor=""#136ed4""] ;
7 [label=""X1"", fillcolor=""#60a6f6""] ;
8 [label=""X0"", fillcolor=""#60a6f6""] ;
6 -> 8 ;
6 -> 7 ;
9 [label=""add"", fillcolor=""#136ed4""] ;
10 [label=""-0.254"", fillcolor=""#60a6f6""] ;
11 [label=""X0"", fillcolor=""#60a6f6""] ;
9 -> 11 ;
9 -> 10 ;
5 -> 9 ;
5 -> 6 ;
12 [label=""add"", fillcolor=""#136ed4""] ;
13 [label=""add"", fillcolor=""#136ed4""] ;
14 [label=""X0"", fillcolor=""#60a6f6""] ;
15 [label=""X1"", fillcolor=""#60a6f6""] ;
13 -> 15 ;
13 -> 14 ;
16 [label=""sub"", fillcolor=""#136ed4""] ;
17 [label=""-1.261"", fillcolor=""#60a6f6""] ;
18 [label=""-0.777"", fillcolor=""#60a6f6""] ;
16 -> 18 ;
16 -> 17 ;
12 -> 16 ;
12 -> 13 ;
4 -> 12 ;
4 -> 5 ;
19 [label=""mul"", fillcolor=""#136ed4""] ;
20 [label=""sub"", fillcolor=""#136ed4""] ;
21 [label=""mul"", fillcolor=""#136ed4""] ;
22 [label=""X1"", fillcolor=""#60a6f6""] ;
23 [label=""X1"", fillcolor=""#60a6f6""] ;
21 -> 23 ;
21 -> 22 ;
24 [label=""add"", fillcolor=""#136ed4""] ;
25 [label=""X0"", fillcolor=""#60a6f6""] ;
26 [label=""0.475"", fillcolor=""#60a6f6""] ;
24 -> 26 ;
24 -> 25 ;
20 -> 24 ;
20 -> 21 ;
27 [label=""sub"", fillcolor=""#136ed4""] ;
28 [label=""add"", fillcolor=""#136ed4""] ;
29 [label=""X0"", fillcolor=""#60a6f6""] ;
30 [label=""X0"", fillcolor=""#60a6f6""] ;
28 -> 30 ;
28 -> 29 ;
31 [label=""add"", fillcolor=""#136ed4""] ;
32 [label=""X1"", fillcolor=""#60a6f6""] ;
33 [label=""-0.093"", fillcolor=""#60a6f6""] ;
31 -> 33 ;
31 -> 32 ;
27 -> 31 ;
27 -> 28 ;
19 -> 27 ;
19 -> 20 ;
3 -> 19 ;
3 -> 4 ;
34 [label=""add"", fillcolor=""#136ed4""] ;
35 [label=""X0"", fillcolor=""#60a6f6""] ;
36 [label=""sub"", fillcolor=""#136ed4""] ;
37 [label=""add"", fillcolor=""#136ed4""] ;
38 [label=""mul"", fillcolor=""#136ed4""] ;
39 [label=""X1"", fillcolor=""#60a6f6""] ;
40 [label=""X1"", fillcolor=""#60a6f6""] ;
38 -> 40 ;
38 -> 39 ;
41 [label=""sub"", fillcolor=""#136ed4""] ;
42 [label=""X0"", fillcolor=""#60a6f6""] ;
43 [label=""X1"", fillcolor=""#60a6f6""] ;
41 -> 43 ;
41 -> 42 ;
37 -> 41 ;
37 -> 38 ;
44 [label=""mul"", fillcolor=""#136ed4""] ;
45 [label=""mul"", fillcolor=""#136ed4""] ;
46 [label=""X1"", fillcolor=""#60a6f6""] ;
47 [label=""X0"", fillcolor=""#60a6f6""] ;
45 -> 47 ;
45 -> 46 ;
48 [label=""mul"", fillcolor=""#136ed4""] ;
49 [label=""X1"", fillcolor=""#60a6f6""] ;
50 [label=""X0"", fillcolor=""#60a6f6""] ;
48 -> 50 ;
48 -> 49 ;
44 -> 48 ;
44 -> 45 ;
36 -> 44 ;
36 -> 37 ;
34 -> 36 ;
34 -> 35 ;
2 -> 34 ;
2 -> 3 ;
0 -> 2 ;
0 -> 1 ;
}"
3;0.0~2.0;-20.0~20.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""sub"", fillcolor=""#136ed4""] ;
1 [label=""add"", fillcolor=""#136ed4""] ;
2 [label=""add"", fillcolor=""#136ed4""] ;
3 [label=""X0"", fillcolor=""#60a6f6""] ;
4 [label=""add"", fillcolor=""#136ed4""] ;
5 [label=""add"", fillcolor=""#136ed4""] ;
6 [label=""mul"", fillcolor=""#136ed4""] ;
7 [label=""X0"", fillcolor=""#60a6f6""] ;
8 [label=""X0"", fillcolor=""#60a6f6""] ;
6 -> 8 ;
6 -> 7 ;
9 [label=""sub"", fillcolor=""#136ed4""] ;
10 [label=""X1"", fillcolor=""#60a6f6""] ;
11 [label=""0.775"", fillcolor=""#60a6f6""] ;
9 -> 11 ;
9 -> 10 ;
5 -> 9 ;
5 -> 6 ;
12 [label=""add"", fillcolor=""#136ed4""] ;
13 [label=""X0"", fillcolor=""#60a6f6""] ;
14 [label=""add"", fillcolor=""#136ed4""] ;
15 [label=""X1"", fillcolor=""#60a6f6""] ;
16 [label=""X0"", fillcolor=""#60a6f6""] ;
14 -> 16 ;
14 -> 15 ;
12 -> 14 ;
12 -> 13 ;
4 -> 12 ;
4 -> 5 ;
2 -> 4 ;
2 -> 3 ;
17 [label=""mul"", fillcolor=""#136ed4""] ;
18 [label=""sub"", fillcolor=""#136ed4""] ;
19 [label=""X0"", fillcolor=""#60a6f6""] ;
20 [label=""X1"", fillcolor=""#60a6f6""] ;
18 -> 20 ;
18 -> 19 ;
21 [label=""add"", fillcolor=""#136ed4""] ;
22 [label=""0.297"", fillcolor=""#60a6f6""] ;
23 [label=""mul"", fillcolor=""#136ed4""] ;
24 [label=""add"", fillcolor=""#136ed4""] ;
25 [label=""X1"", fillcolor=""#60a6f6""] ;
26 [label=""X1"", fillcolor=""#60a6f6""] ;
24 -> 26 ;
24 -> 25 ;
27 [label=""sub"", fillcolor=""#136ed4""] ;
28 [label=""X0"", fillcolor=""#60a6f6""] ;
29 [label=""-1.906"", fillcolor=""#60a6f6""] ;
27 -> 29 ;
27 -> 28 ;
23 -> 27 ;
23 -> 24 ;
21 -> 23 ;
21 -> 22 ;
17 -> 21 ;
17 -> 18 ;
1 -> 17 ;
1 -> 2 ;
30 [label=""mul"", fillcolor=""#136ed4""] ;
31 [label=""X1"", fillcolor=""#60a6f6""] ;
32 [label=""add"", fillcolor=""#136ed4""] ;
33 [label=""add"", fillcolor=""#136ed4""] ;
34 [label=""sub"", fillcolor=""#136ed4""] ;
35 [label=""mul"", fillcolor=""#136ed4""] ;
36 [label=""1.231"", fillcolor=""#60a6f6""] ;
37 [label=""X0"", fillcolor=""#60a6f6""] ;
35 -> 37 ;
35 -> 36 ;
38 [label=""mul"", fillcolor=""#136ed4""] ;
39 [label=""X1"", fillcolor=""#60a6f6""] ;
40 [label=""X0"", fillcolor=""#60a6f6""] ;
38 -> 40 ;
38 -> 39 ;
34 -> 38 ;
34 -> 35 ;
41 [label=""mul"", fillcolor=""#136ed4""] ;
42 [label=""sub"", fillcolor=""#136ed4""] ;
43 [label=""-0.242"", fillcolor=""#60a6f6""] ;
44 [label=""X1"", fillcolor=""#60a6f6""] ;
42 -> 44 ;
42 -> 43 ;
45 [label=""add"", fillcolor=""#136ed4""] ;
46 [label=""X1"", fillcolor=""#60a6f6""] ;
47 [label=""X1"", fillcolor=""#60a6f6""] ;
45 -> 47 ;
45 -> 46 ;
41 -> 45 ;
41 -> 42 ;
33 -> 41 ;
33 -> 34 ;
48 [label=""mul"", fillcolor=""#136ed4""] ;
49 [label=""add"", fillcolor=""#136ed4""] ;
50 [label=""X0"", fillcolor=""#60a6f6""] ;
51 [label=""-0.797"", fillcolor=""#60a6f6""] ;
49 -> 51 ;
49 -> 50 ;
52 [label=""sub"", fillcolor=""#136ed4""] ;
53 [label=""add"", fillcolor=""#136ed4""] ;
54 [label=""X1"", fillcolor=""#60a6f6""] ;
55 [label=""1.415"", fillcolor=""#60a6f6""] ;
53 -> 55 ;
53 -> 54 ;
56 [label=""sub"", fillcolor=""#136ed4""] ;
57 [label=""X1"", fillcolor=""#60a6f6""] ;
58 [label=""0.459"", fillcolor=""#60a6f6""] ;
56 -> 58 ;
56 -> 57 ;
52 -> 56 ;
52 -> 53 ;
48 -> 52 ;
48 -> 49 ;
32 -> 48 ;
32 -> 33 ;
30 -> 32 ;
30 -> 31 ;
0 -> 30 ;
0 -> 1 ;
}"
4;0.0~2.0;-20.0~20.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""sub"", fillcolor=""#136ed4""] ;
1 [label=""mul"", fillcolor=""#136ed4""] ;
2 [label=""sub"", fillcolor=""#136ed4""] ;
3 [label=""X1"", fillcolor=""#60a6f6""] ;
4 [label=""-1.929"", fillcolor=""#60a6f6""] ;
2 -> 4 ;
2 -> 3 ;
5 [label=""mul"", fillcolor=""#136ed4""] ;
6 [label=""X0"", fillcolor=""#60a6f6""] ;
7 [label=""X0"", fillcolor=""#60a6f6""] ;
5 -> 7 ;
5 -> 6 ;
1 -> 5 ;
1 -> 2 ;
8 [label=""add"", fillcolor=""#136ed4""] ;
9 [label=""sub"", fillcolor=""#136ed4""] ;
10 [label=""X0"", fillcolor=""#60a6f6""] ;
11 [label=""0.184"", fillcolor=""#60a6f6""] ;
9 -> 11 ;
9 -> 10 ;
12 [label=""mul"", fillcolor=""#136ed4""] ;
13 [label=""X0"", fillcolor=""#60a6f6""] ;
14 [label=""-0.886"", fillcolor=""#60a6f6""] ;
12 -> 14 ;
12 -> 13 ;
8 -> 12 ;
8 -> 9 ;
0 -> 8 ;
0 -> 1 ;
}"
