;T_range;theta_range;pop_size;gen_size;tour_size;tour_factor;pars_coeff;tree
0;0.0~2.0;-10.0~10.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""mul"", fillcolor=""#136ed4""] ;
1 [label=""add"", fillcolor=""#136ed4""] ;
2 [label=""1.386"", fillcolor=""#60a6f6""] ;
3 [label=""add"", fillcolor=""#136ed4""] ;
4 [label=""-0.914"", fillcolor=""#60a6f6""] ;
5 [label=""sub"", fillcolor=""#136ed4""] ;
6 [label=""-0.480"", fillcolor=""#60a6f6""] ;
7 [label=""X0"", fillcolor=""#60a6f6""] ;
5 -> 7 ;
5 -> 6 ;
3 -> 5 ;
3 -> 4 ;
1 -> 3 ;
1 -> 2 ;
8 [label=""sub"", fillcolor=""#136ed4""] ;
9 [label=""mul"", fillcolor=""#136ed4""] ;
10 [label=""sub"", fillcolor=""#136ed4""] ;
11 [label=""1.167"", fillcolor=""#60a6f6""] ;
12 [label=""X1"", fillcolor=""#60a6f6""] ;
10 -> 12 ;
10 -> 11 ;
13 [label=""sub"", fillcolor=""#136ed4""] ;
14 [label=""X0"", fillcolor=""#60a6f6""] ;
15 [label=""X1"", fillcolor=""#60a6f6""] ;
13 -> 15 ;
13 -> 14 ;
9 -> 13 ;
9 -> 10 ;
16 [label=""add"", fillcolor=""#136ed4""] ;
17 [label=""sub"", fillcolor=""#136ed4""] ;
18 [label=""X1"", fillcolor=""#60a6f6""] ;
19 [label=""-1.091"", fillcolor=""#60a6f6""] ;
17 -> 19 ;
17 -> 18 ;
20 [label=""0.563"", fillcolor=""#60a6f6""] ;
16 -> 20 ;
16 -> 17 ;
8 -> 16 ;
8 -> 9 ;
0 -> 8 ;
0 -> 1 ;
}"
1;0.0~2.0;-10.0~10.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""mul"", fillcolor=""#136ed4""] ;
1 [label=""mul"", fillcolor=""#136ed4""] ;
2 [label=""add"", fillcolor=""#136ed4""] ;
3 [label=""add"", fillcolor=""#136ed4""] ;
4 [label=""X0"", fillcolor=""#60a6f6""] ;
5 [label=""-1.463"", fillcolor=""#60a6f6""] ;
3 -> 5 ;
3 -> 4 ;
6 [label=""sub"", fillcolor=""#136ed4""] ;
7 [label=""X1"", fillcolor=""#60a6f6""] ;
8 [label=""-1.136"", fillcolor=""#60a6f6""] ;
6 -> 8 ;
6 -> 7 ;
2 -> 6 ;
2 -> 3 ;
9 [label=""add"", fillcolor=""#136ed4""] ;
10 [label=""X0"", fillcolor=""#60a6f6""] ;
11 [label=""mul"", fillcolor=""#136ed4""] ;
12 [label=""X1"", fillcolor=""#60a6f6""] ;
13 [label=""1.815"", fillcolor=""#60a6f6""] ;
11 -> 13 ;
11 -> 12 ;
9 -> 11 ;
9 -> 10 ;
1 -> 9 ;
1 -> 2 ;
14 [label=""add"", fillcolor=""#136ed4""] ;
15 [label=""-1.445"", fillcolor=""#60a6f6""] ;
16 [label=""X1"", fillcolor=""#60a6f6""] ;
14 -> 16 ;
14 -> 15 ;
0 -> 14 ;
0 -> 1 ;
}"
2;0.0~2.0;-10.0~10.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""add"", fillcolor=""#136ed4""] ;
1 [label=""mul"", fillcolor=""#136ed4""] ;
2 [label=""add"", fillcolor=""#136ed4""] ;
3 [label=""mul"", fillcolor=""#136ed4""] ;
4 [label=""X1"", fillcolor=""#60a6f6""] ;
5 [label=""0.996"", fillcolor=""#60a6f6""] ;
3 -> 5 ;
3 -> 4 ;
6 [label=""add"", fillcolor=""#136ed4""] ;
7 [label=""0.776"", fillcolor=""#60a6f6""] ;
8 [label=""X0"", fillcolor=""#60a6f6""] ;
6 -> 8 ;
6 -> 7 ;
2 -> 6 ;
2 -> 3 ;
9 [label=""sub"", fillcolor=""#136ed4""] ;
10 [label=""sub"", fillcolor=""#136ed4""] ;
11 [label=""X1"", fillcolor=""#60a6f6""] ;
12 [label=""X0"", fillcolor=""#60a6f6""] ;
10 -> 12 ;
10 -> 11 ;
13 [label=""sub"", fillcolor=""#136ed4""] ;
14 [label=""X0"", fillcolor=""#60a6f6""] ;
15 [label=""X0"", fillcolor=""#60a6f6""] ;
13 -> 15 ;
13 -> 14 ;
9 -> 13 ;
9 -> 10 ;
1 -> 9 ;
1 -> 2 ;
16 [label=""mul"", fillcolor=""#136ed4""] ;
17 [label=""sub"", fillcolor=""#136ed4""] ;
18 [label=""add"", fillcolor=""#136ed4""] ;
19 [label=""X0"", fillcolor=""#60a6f6""] ;
20 [label=""1.129"", fillcolor=""#60a6f6""] ;
18 -> 20 ;
18 -> 19 ;
21 [label=""sub"", fillcolor=""#136ed4""] ;
22 [label=""X1"", fillcolor=""#60a6f6""] ;
23 [label=""X0"", fillcolor=""#60a6f6""] ;
21 -> 23 ;
21 -> 22 ;
17 -> 21 ;
17 -> 18 ;
24 [label=""add"", fillcolor=""#136ed4""] ;
25 [label=""sub"", fillcolor=""#136ed4""] ;
26 [label=""-0.501"", fillcolor=""#60a6f6""] ;
27 [label=""X0"", fillcolor=""#60a6f6""] ;
25 -> 27 ;
25 -> 26 ;
28 [label=""mul"", fillcolor=""#136ed4""] ;
29 [label=""X1"", fillcolor=""#60a6f6""] ;
30 [label=""X0"", fillcolor=""#60a6f6""] ;
28 -> 30 ;
28 -> 29 ;
24 -> 28 ;
24 -> 25 ;
16 -> 24 ;
16 -> 17 ;
0 -> 16 ;
0 -> 1 ;
}"
3;0.0~2.0;-10.0~10.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""mul"", fillcolor=""#136ed4""] ;
1 [label=""mul"", fillcolor=""#136ed4""] ;
2 [label=""X0"", fillcolor=""#60a6f6""] ;
3 [label=""X0"", fillcolor=""#60a6f6""] ;
1 -> 3 ;
1 -> 2 ;
4 [label=""sub"", fillcolor=""#136ed4""] ;
5 [label=""X1"", fillcolor=""#60a6f6""] ;
6 [label=""1.709"", fillcolor=""#60a6f6""] ;
4 -> 6 ;
4 -> 5 ;
0 -> 4 ;
0 -> 1 ;
}"
4;0.0~2.0;-10.0~10.0;10000;15;50;200;auto;"digraph program {
node [style=filled]
0 [label=""add"", fillcolor=""#136ed4""] ;
1 [label=""mul"", fillcolor=""#136ed4""] ;
2 [label=""mul"", fillcolor=""#136ed4""] ;
3 [label=""X1"", fillcolor=""#60a6f6""] ;
4 [label=""X1"", fillcolor=""#60a6f6""] ;
2 -> 4 ;
2 -> 3 ;
5 [label=""add"", fillcolor=""#136ed4""] ;
6 [label=""sub"", fillcolor=""#136ed4""] ;
7 [label=""1.352"", fillcolor=""#60a6f6""] ;
8 [label=""-0.846"", fillcolor=""#60a6f6""] ;
6 -> 8 ;
6 -> 7 ;
9 [label=""-0.795"", fillcolor=""#60a6f6""] ;
5 -> 9 ;
5 -> 6 ;
1 -> 5 ;
1 -> 2 ;
10 [label=""mul"", fillcolor=""#136ed4""] ;
11 [label=""mul"", fillcolor=""#136ed4""] ;
12 [label=""add"", fillcolor=""#136ed4""] ;
13 [label=""X1"", fillcolor=""#60a6f6""] ;
14 [label=""-1.314"", fillcolor=""#60a6f6""] ;
12 -> 14 ;
12 -> 13 ;
15 [label=""add"", fillcolor=""#136ed4""] ;
16 [label=""-0.704"", fillcolor=""#60a6f6""] ;
17 [label=""X0"", fillcolor=""#60a6f6""] ;
15 -> 17 ;
15 -> 16 ;
11 -> 15 ;
11 -> 12 ;
18 [label=""X0"", fillcolor=""#60a6f6""] ;
10 -> 18 ;
10 -> 11 ;
0 -> 10 ;
0 -> 1 ;
}"
